ZJXBD01_SYS	资金下拨
MDCGTHD	门店采购退货单
BRJS01_SYS	应收票据到期收款
JSJSD02_SYS	寄售结算单（匹配库存）
POSBZDGD	POS标准导购单
POSDGYXD	POS导购意向单
POSBZTGD	POS标准退购单
YSPJCFD01_SYS	应收票据拆分单
MRBPSD011_SYS	发货检验MRB评审单
THTZD01_SYS	标准退货通知单
SKDLX02_SYS	其他业务收款单
WLQD01_SYS	物料清单
YFYPSCDD	研发样品生产订单
MJQTRK	模具入库单
ZCJY02_SYS	资产借出
FHTZD02_SYS	寄售发货通知单
SCYLQDBGD01_SYS	生产用料清单变更单
CGDD02_SYS	标准委外订单
XSDDBGD01_SYS	标准销售订单变更单
XSTHD01_SYS	标准销售退货单
CSKC01_SYS	标准初始库存单
FKTKDLX01_SYS	采购业务退款单
SLD04_SYS	资产接收单
JHDD02_SYS	MRP计划订单
BHD01_SYS	标准补货单
YHSQ003_SYS	标准要货申请
XSDD08_SYS	VMI销售订单
FHTZD05_SYS	VMI发货通知单
XSCKD05_SYS	VMI出库单
FKSQ001_SYS	采购付款申请
FKSQ002_SYS	其他付款申请
FKSQ003_SYS	销售退款申请
FKSQ004_SYS	其他退款申请
SC_Interest	内部利息单
SC_FundsUp	资金上划单
JSJSD01_SYS	寄售结算单
SLD01_SYS	标准收料单
PLMTDFA01_SYS	PLM替代方案
XSDD04_SYS	直运销售订单
PYPK01_SYS	盘盈
CGDD01_SYS	标准采购订单
SCDDBGD01_SYS	生产订单变更单
RZ01_SYS	标准任职信息
WWDD02_SYS	返工委外订单
ZCLY01_SYS	标准资产领用
KCZTZH01_SYS	标准库存状态转换
XSDD03_SYS	受托加工销售
PY01_SYS	标准盘盈单
YHDZD01_SYS	银行对账单
TLD05_SYS	分销购销退料单
SCLLD02_SYS	倒冲生产领料
CGSQD01_SYS	标准采购申请
WWDD01_SYS	普通委外订单
WLZQPD01_SYS	标准周期盘点表
WSDD02_SYS	寄售网上订单
YHSQ02_SYS	购销要货申请
WWLLD01_SYS	普通委外领料
JDSCLL01_SYS	简单生产领料
SCBL01_SYS	生产备料单
XSCKD03_SYS	零售出库单
QTYSD01_SYS	其他应收单
ZQPDJH01_SYS	标准周期盘点计划单
JDSCRK01_SYS	简单生产入库
GY01_SYS	标准雇佣员工申请单
PHTZ01_SYS	标准批号调整单
CGPTFP01_SYS	采购普通发票
DC01_SYS	跨人事管理中心调出单
RKD01_SYS	标准采购入库
XSDD05_SYS	退货订单
STCLTL01_SYS	标准受托加工材料退料单
ZJDB03_SYS	委外直接调拨单
YFHXD01_SYS	应付核销单
YFD01_SYS	标准应付单
BRJS04_SYS	应收票据背书退回
FHTZD04_SYS	分销购销发货通知单
FHTZD03_SYS	分销调拨发货通知单
XSDD07_SYS	分销购销订单
XSDD06_SYS	分销调拨订单
XSCKD01_SYS	标准销售出库单
CGDD04_SYS	资产采购订单
ZJDB04_SYS	分销直接调拨单
CGDD05_SYS	费用采购订单
LZ01_SYS	标准离职申请单
BRJS05_SYS	应收票据退票
YHSQ01_SYS	调拨要货申请
SCDD04_SYS	直接入库-返工生产
CGDD03_SYS	直运采购订单
WWTLD02_SYS	倒冲委外退料
YSHXD01_SYS	应收核销单
CGSQD02_SYS	直运采购申请
CGDD06-SYS	补料采购订单
FKDLX03_SYS	工资发放付款单
PLSYZZ01_SYS	标准批量试用转正申请单
YFQLDLX	应付清理单
HT01_SYS	中国地区劳动合同
SCTLD01_SYS	普通生产退料
ARNBQLD	内部应收清理单
SLD05_SYS	费用物料接收单
SCBLD01_SYS	普通生产补料
BPJS02_SYS	应付票据退票
ZJDB01_SYS	标准直接调拨单
XSTHD03_SYS	零售退货单
CKCBTZD01_SYS	出库成本调整单
TLD02_SYS	零散采购退料单
CGDDBGD01_SYS	标准采购订单变更单
QTRKD01_SYS	标准其他入库单
RKD05_SYS	资产入库单
RKD06_SYS	费用入库单
FKDLX01_SYS	采购业务付款单
WWYLQDBGD01_SYS	委外用料清单变更单
XSBJD01_SYS	标准销售报价单
SCRKD02_SYS	生产入库
FBDC01_SYS	标准分步式调出单
TDFA01_SYS	替代方案
SCHBD02_SYS	生产汇报
SLD02_SYS	零散采购收料单
FBDR01_SYS	标准分步式调入单
SKTKDLX02_SYS	其他业务退款单
XSCKD02_SYS	寄售出库单
XSDD01_SYS	标准销售订单
SYZZ01_SYS	标准试用转正申请单
THTZD02_SYS	寄售退货通知单
SKTKDLX01_SYS	销售业务退款单
TLD03_SYS	资产退回单
SCLLD01_SYS	普通生产领料
ZZJXQD01_SYS	组织间需求单
XSCKD04_SYS	分销购销销售出库单
FKDLX02_SYS	其他业务付款单
